-1,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Ryzen™ 5 3600X,6,12,-1,3.8,4.4,-1,384,3,32,-1,4,95,95,3200,2,-1,-1,-1
on,AMD Ryzen™ 5 5600G,6,12,7,3.9,4.4,-1,-1,3,16,-1,3,65,95,3200,2,-1,1900,-1
on,AMD Ryzen™ 5 5600GE,6,12,7,3.4,4.4,-1,-1,3,16,-1,3,35,95,3200,2,-1,1900,-1
on,AMD Ryzen™ 5 3600,6,12,-1,3.6,4.2,-1,384,3,32,-1,4,65,95,3200,2,-1,-1,-1
on,AMD Ryzen™ 3 5300G (OEM Only),4,8,6,4,4.2,-1,-1,2,8,-1,3,65,95,3200,2,-1,1700,-1
on,AMD Ryzen™ 3 5300GE (OEM Only),4,8,6,3.6,4.2,-1,-1,2,8,-1,3,35,95,3200,2,-1,1700,-1
on,AMD Ryzen™ 7 4700G (OEM Only),8,16,8,3.6,4.4,-1,512,4,8,-1,3,65,95,3200,2,-1,2100,-1
on,AMD Ryzen™ 3 3300X,4,8,-1,3.8,4.3,-1,256,2,16,-1,4,65,-1,3200,-1,-1,-1,-1
on,AMD Ryzen™ 3 3100,4,8,-1,3.6,3.9,-1,256,2,16,-1,4,65,-1,3200,-1,-1,-1,-1
on,AMD Ryzen™ 5 4600G,6,12,7,3.7,4.2,-1,384,3,8,-1,3,65,95,3200,2,-1,1900,-1
on,AMD Ryzen™ 3 4300G (OEM Only),4,8,6,3.8,4,-1,256,2,4,-1,3,65,95,3200,2,-1,1700,-1
on,AMD Ryzen™ 5 3500 Processor (OEM Only),6,6,-1,3.6,4.1,-1,384,3,16,-1,4,65,95,3200,2,-1,-1,-1
on,AMD Ryzen™ 7 4700GE (OEM Only),8,16,8,3.1,4.3,-1,512,4,8,-1,3,35,95,3200,2,-1,2000,-1
on,AMD Ryzen™ 5 4600GE (OEM Only),6,12,7,3.3,4.2,-1,384,3,8,-1,3,35,95,3200,2,-1,1900,-1
on,AMD Ryzen™ 3 4300GE (OEM Only),4,8,6,3.5,4,-1,256,2,4,-1,3,35,95,3200,2,-1,1700,-1
on,AMD Ryzen™ 9 4900H,8,16,8,3.3,4.4,-1,-1,4,8,-1,3,44.5,105,-1,-1,-1,1750,-1
on,AMD Ryzen™ 9 4900HS,8,16,8,3,4.3,-1,-1,4,8,-1,3,35,105,-1,-1,-1,1750,-1
on,AMD Ryzen™ 7 4800HS,8,16,7,2.9,4.2,-1,-1,4,8,-1,3,45,105,-1,-1,-1,1600,-1
on,AMD Ryzen™ 7 4800H,8,16,7,2.9,4.2,-1,-1,4,8,-1,3,45,105,-1,-1,-1,1600,-1
on,AMD Ryzen™ 5 4600H,6,12,6,3,4,-1,-1,3,8,-1,3,45,105,-1,-1,-1,1500,-1
on,AMD Ryzen™ 7 4800U,8,16,8,1.8,4.2,-1,-1,4,8,-1,3,15,105,-1,-1,-1,1750,-1
on,AMD Ryzen™ 7 4700U,8,8,7,2,4.1,-1,-1,4,8,-1,3,15,105,-1,-1,-1,1600,-1
on,AMD Ryzen™ 5 4600U,6,12,6,2.1,4,-1,-1,3,8,-1,3,15,105,-1,-1,-1,1500,-1
on,AMD Ryzen™ 5 4500U,6,6,6,2.3,4,-1,-1,3,8,-1,3,15,105,-1,-1,-1,1500,-1
on,AMD Ryzen™ 3 4300U,4,4,5,2.7,3.7,-1,-1,2,4,-1,3,15,105,-1,-1,-1,1400,-1
on,AMD Ryzen™ 3 3250U,2,4,3,2.6,3.5,-1,192,1,4,-1,3,15,95,2400,2,-1,1200,-1
on,AMD Ryzen™ 5 3400G with Radeon™ RX Vega 11 Graphics,4,8,11,3.7,4.2,-1,384,2,4,-1,3,65,95,-1,2,-1,1400,-1
on,AMD Ryzen™ 7 4980U Microsoft Surface® Edition,8,16,8,2,4.4,-1,512,4,8,-1,3,15,105,4267,2,-1,1950,-1
on,AMD Ryzen™ 5 3400GE (OEM Only),4,8,11,3.3,4,-1,384,2,4,-1,3,35,95,2933,2,-1,1300,-1
on,AMD Ryzen™ 5 4680U Microsoft Surface® Edition,6,12,7,2.2,4,-1,384,3,8,-1,3,15,105,4267,2,-1,1500,-1
on,AMD Ryzen™ 3 3200G with Radeon™ Vega 8 Graphics,4,4,8,3.6,4,-1,384,2,4,-1, 3.0 x8,65,95,2933,2,-1,1250,-1
on,AMD Ryzen™ 7 3780U Microsoft Surface® Edition,4,8,11,2.3,4,-1,384,2,4,-1,3,15,105,2400,2,-1,1400,-1
on,AMD Ryzen™ 3 3200GE (OEM Only),4,4,8,3.3,3.8,-1,384,2,4,-1,3,35,95,2933,2,-1,1200,-1
on,AMD Athlon™ Gold 7220U,2,4,2,2.4,3.7,-1,256,1,4,-1,3,15,-1,-1,2,-1,1900,-1
